Mobile Name,Price,Ratings
"REDMI 9 Power (Blazing Blue, 128 GB)","₹13,499",4.3
"POCO X3 Pro (Graphite Black, 128 GB)","₹18,999",4.4
"REDMI 9 Prime (Space Blue, 64 GB)","₹11,999",4.4
"realme Narzo 30 (Racing Blue, 64 GB)","₹13,499",4.3
Nokia TA-1010/105,"₹1,285",4.2
Nokia TA-1010/105,"₹1,265",4.2
Nokia 105 SS 2021,"₹1,284",4.2
LAVA A3,"₹1,319",4.2
"Infinix Hot 10S (7° Purple, 64 GB)","₹10,999",4.2
"realme C11 2021 (Cool Blue, 64 GB)","₹8,799",4.5
"REDMI 9 Power (Electric Green, 128 GB)","₹13,499",4.3
"Infinix Smart 5 (Morandi Green, 32 GB)","₹7,499",4.3
"Infinix Smart 5 (Obsidian Black, 32 GB)","₹7,499",4.3
"Infinix Smart 5 (Aegean Blue, 32 GB)","₹7,499",4.3
"Infinix Smart 5 (7° Purple, 32 GB)","₹7,499",4.3
"MOTOROLA E7 Power (Tahiti Blue, 64 GB)","₹8,799",4.1
"OPPO A33 (Moonlight Black, 32 GB)","₹9,990",4.3
LAVA A1 Josh,"₹1,129",4.2
LAVA A1 Josh,"₹1,159",4.2
"OPPO A53 (Mint Cream, 64 GB)","₹15,990",4.5
"OPPO A53 (Moonlight Black, 64 GB)","₹15,990",4.5
LAVA A3,"₹1,319",4.2
"MOTOROLA G40 Fusion (Dynamic Gray, 128 GB)","₹16,499",4.3
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹12,999",4.4
