Mobile Name,Price,Ratings
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹12,999",4.4
"OPPO A33 (Mint Cream, 32 GB)","₹9,990",4.3
LAVA Flip,"₹2,029",4.2
LAVA Flip,"₹1,999",4.2
"OPPO A53 (Moonlight Black, 128 GB)","₹17,990",4.4
"POCO X3 Pro (Graphite Black, 128 GB)","₹20,999",4.4
KARBONN KX3,₹880,3.9
"OPPO A53s 5G (Ink Black, 128 GB)","₹15,990",4.3
"OPPO A53s 5G (Crystal Blue, 128 GB)","₹15,990",4.3
"realme C11 2021 (Cool Grey, 64 GB)","₹8,799",4.5
"OPPO A12 (Deep Blue, 64 GB)","₹9,990",4.4
"OPPO A12 (Black, 32 GB)","₹8,990",4.4
"OPPO A12 (Blue, 32 GB)","₹8,990",4.4
"OPPO A12 (Deep Blue, 32 GB)","₹8,990",4.4
"OPPO A12 (Flowing Silver, 64 GB)","₹9,990",4.4
"OPPO A53 (Mint Cream, 128 GB)","₹17,990",4.4
"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹14,999",4.4
"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)","₹14,499",4.3
"POCO X3 Pro (Steel Blue, 128 GB)","₹20,999",4.4
LAVA A1,"₹1,159",4.2
LAVA A1,"₹1,159",4.2
Micromax X816,"₹1,400",4.1
"realme Narzo 30 (Racing Blue, 128 GB)","₹15,499",4.3
"POCO M3 Pro 5G (Yellow, 128 GB)","₹15,999",4.2
